genre
Comedy
"Action, Adventure, Fantasy"
"Action, Adventure, Sci-Fi"
"Adventure, Comedy, Fantasy"
"Horror, Mystery, Thriller"
"Adventure, Comedy, Family"
"Comedy, Fantasy, Horror"
"Comedy, Horror, Sci-Fi"
"Animation, Action, Adventure"
"Action, Crime, Fantasy"
"Comedy, Sci-Fi"
"Adventure, Horror, Thriller"
"Action, Adventure, Comedy"
"Horror, Thriller"
"Comedy, Family"
"Action, Sci-Fi"
"Action, Horror, Sci-Fi"
"Comedy, Family, Fantasy"
"Comedy, Family, Music"
"Comedy, Fantasy"
"Comedy, Crime"
"Comedy, Horror"
"Comedy, Romance"
"Action, Crime, Thriller"
"Action, Adventure, Horror"
"Comedy, Crime, Romance"
"Comedy, Musical, Romance"
"Drama, Music, Romance"
"Adventure, Family, Fantasy"
"Crime, Mystery, Thriller"
"Action, Comedy, Horror"
"Comedy, Family, Romance"
"Comedy, Crime, Family"
"Comedy, Horror, Thriller"
"Animation, Adventure, Comedy"
"Action, Sci-Fi, Sport"
"Comedy, Romance, Sport"
"Horror, Mystery"
Horror
"Crime, Horror, Thriller"
"Drama, Horror"
"Action, Fantasy, Horror"
"Action, Drama, Musical"
"Action, Comedy, Crime"
"Action, Fantasy, Sci-Fi"
"Drama, Thriller"
Drama
"Action, Comedy, Sci-Fi"
"Comedy, Family, Sci-Fi"
"Action, Adventure, Crime"
"Action, Comedy, Musical"
"Action, Comedy, Romance"
"Comedy, Drama, Family"
"Crime, Mystery"
"Action, Comedy, Drama"
"Comedy, Sport"
"Drama, Mystery, Sci-Fi"
"Crime, Drama"
"Comedy, Drama, Romance"
"Action, Drama, Fantasy"
"Comedy, Crime, Fantasy"
"Drama, Romance"
